date,type,value
2020-05-13,Local,675
2020-05-14,Imported,0
2020-05-14,Local,752
2020-05-15,Imported,0
2020-05-15,Local,793
2020-05-16,Imported,0
2020-05-16,Local,465
2020-05-17,Imported,0
2020-05-17,Local,680
2020-05-18,Imported,0
2020-05-18,Local,305
2020-05-19,Imported,0
2020-05-19,Local,451
2020-05-20,Imported,0
2020-05-20,Local,570
2020-05-21,Imported,0
2020-05-21,Local,448
2020-05-22,Imported,0
2020-05-22,Local,614
2020-05-23,Imported,0
2020-05-23,Local,642
2020-05-24,Imported,0
2020-05-24,Local,548
2020-05-25,Imported,0
2020-05-25,Local,344
2020-05-26,Imported,0
2020-05-26,Local,383
2020-05-27,Imported,0
2020-05-27,Local,533
2020-05-28,Imported,0
2020-05-28,Local,373
2020-05-29,Imported,0
2020-05-29,Local,611
2020-05-30,Imported,0
2020-05-30,Local,506
2020-05-31,Imported,0
2020-05-31,Local,518
2020-06-01,Imported,0
2020-06-01,Local,408
2020-06-02,Imported,0
2020-06-02,Local,544
2020-06-03,Imported,0
2020-06-03,Local,568
2020-06-04,Imported,0
2020-06-04,Local,517
2020-06-05,Imported,0
2020-06-05,Local,261
2020-06-06,Imported,0
2020-06-06,Local,344
2020-06-07,Imported,0
2020-06-07,Local,383
2020-06-08,Imported,0
2020-06-08,Local,386
2020-06-09,Imported,0
2020-06-09,Local,218
2020-06-10,Imported,0
2020-06-10,Local,451
2020-06-11,Imported,0
2020-06-11,Local,421
2020-06-12,Imported,0
2020-06-12,Local,463
2020-06-13,Imported,0
2020-06-13,Local,347
2020-06-14,Imported,1
2020-06-14,Local,406
2020-06-15,Imported,0
2020-06-15,Local,214
2020-06-16,Imported,0
2020-06-16,Local,151
2020-06-17,Imported,0
2020-06-17,Local,247
2020-06-18,Imported,0
2020-06-18,Local,257
2020-06-19,Imported,0
2020-06-19,Local,142
2020-06-20,Imported,0
2020-06-20,Local,218
2020-06-21,Imported,0
2020-06-21,Local,262
2020-06-22,Imported,0
2020-06-22,Local,218
2020-06-23,Imported,0
2020-06-23,Local,119
2020-06-24,Imported,0
2020-06-24,Local,191
2020-06-25,Imported,0
2020-06-25,Local,113
2020-06-26,Imported,0
2020-06-26,Local,219
2020-06-27,Imported,0
2020-06-27,Local,291
2020-06-28,Imported,0
2020-06-28,Local,211
2020-06-29,Imported,0
2020-06-29,Local,202
2020-06-30,Imported,1
2020-06-30,Local,245
2020-07-01,Imported,4
2020-07-01,Local,210
2020-07-02,Imported,1
2020-07-02,Local,187
2020-07-03,Imported,3
2020-07-03,Local,166
2020-07-04,Imported,1
2020-07-04,Local,183
2020-07-05,Imported,7
2020-07-05,Local,129
2020-07-06,Imported,3
2020-07-06,Local,180
2020-07-07,Imported,3
2020-07-07,Local,153
2020-07-08,Imported,3
2020-07-08,Local,155
2020-07-09,Imported,1
2020-07-09,Local,124
2020-07-10,Imported,1
2020-07-10,Local,189
2020-07-11,Imported,1
2020-07-11,Local,169
2020-07-12,Imported,1
2020-07-12,Local,175
2020-07-13,Imported,5
2020-07-13,Local,317
2020-07-14,Imported,2
2020-07-14,Local,345
2020-07-15,Imported,5
2020-07-15,Local,240
2020-07-16,Imported,4
2020-07-16,Local,244
2020-07-17,Imported,3
2020-07-17,Local,324
2020-07-18,Imported,8
2020-07-18,Local,193
2020-07-19,Imported,5
2020-07-19,Local,252
2020-07-20,Imported,2
2020-07-20,Local,120
2020-07-21,Imported,3
2020-07-21,Local,396
2020-07-22,Imported,6
2020-07-22,Local,303
2020-07-23,Imported,5
2020-07-23,Local,347
2020-07-24,Imported,2
2020-07-24,Local,275
2020-07-25,Imported,6
2020-07-25,Local,507
2020-07-26,Imported,4
2020-07-26,Local,477
2020-07-27,Imported,15
2020-07-27,Local,453
2020-07-28,Imported,2
2020-07-28,Local,357
2020-07-29,Imported,4
2020-07-29,Local,329
2020-07-30,Imported,4
2020-07-30,Local,274
