,Ticker,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change ,S&P500 52-Week Change ,52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,% Held by Insiders ,% Held by Institutions ,Shares Short  ,Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short  ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio ,Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
10,ASML,16926000000000.0,31.69,22.27,1.28,9.24,22.87,8.82,24.53,1.18,-41.1,-15.36,881.12,412.67,509.3,586.37,105000000.0,107000000.0,3972000000.0,0.0,39709000000.0,0.0,19.82,64328000.0,0.73,0.0,0.16,114000000.0,5.29,1.27,5.07,1.22,0.82,39.65,29.28,32.17,12.92,56.93,1919000000000.0,47.71,35.1,981000000000.0,666000000000.0,562000000000.0,13.49,35.9,44000000000.0,11.08,441000000000.0,57.67,1.36,19.26,1019000000000.0,523000000000.0
11,SE,2750000000000.0,0.0,0.0,0.0,2.52,5.61,2.34,-12.25,1.64,-82.77,-15.36,372.7,52.38,67.97,104.68,619000000.0,589000000.0,56174000000.0,0.0,30848000000.0,14.27,74.78,2552000000.0,3.13,0.0,4.54,1854000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,-17.51,-8.87,-59.75,1175000000000.0,21.31,29.0,39000000000.0,-172000000000.0,-27000000000.0,-4.06,0.0,778000000000.0,13.96,515000000000.0,94.85,1.92,9.64,-145000000000.0,-199000000000.0
12,AXON,776000000000.0,56.51,43.1,0.0,8.06,6.8,7.82,212.44,0.63,-29.83,-15.36,209.0,82.49,118.48,120.62,33772000.0,38174000.0,7108000000.0,0.0,6743000000.0,5.26,77.61,16000000.0,4.94,2.66,2.25,167000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1.46,0.52,12.29,99161000000.0,14.29,30.5,54091000000.0,3651000000.0,14085000000.0,2.02,0.0,37723000000.0,5.31,25000000.0,2.09,2.7,16.79,9272000000.0,-10973000000.0
13,TEAM,5354000000000.0,0.0,126.58,4.2,19.03,159.98,19.1,-120.38,0.94,-44.27,-15.36,483.13,159.54,242.85,255.25,172000000.0,136000000.0,14601000000.0,0.0,14462000000.0,0.0,0.0,324000000.0,2.36,2.54,1.27,366000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.91,-3.8,-2.11,-194.8,28000000000.0,11.06,35.8,234000000000.0,-7773000000.0,-61412000000.0,-2.86,0.0,147000000000.0,5.77,131000000000.0,391.68,1.19,1.32,8835000000.0,25375000000.0
14,LULU,3610000000000.0,32.77,28.41,1.4,5.11,12.47,5.11,20.3,1.29,-26.45,-15.36,485.83,251.51,316.41,322.42,138000000.0,165000000.0,1223000000.0,0.0,11704000000.0,0.34,88.49,268000000.0,1.5,2.59,2.1,254000000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,21.6,20.45,39.86,706000000000.0,54.91,28.8,361000000000.0,178000000000.0,11000000000.0,7.71,39.1,49883000000.0,3.91,95412000000.0,33.39,1.98,22.41,74372000000.0,17126000000.0
15,SNOW,5068000000000.0,0.0,111000.0,5.5,32.29,10.02,30.94,-75.83,1.05,-42.55,-15.36,405.0,110.26,170.03,201.92,687000000.0,55000000.0,320000000.0,0.0,26763000000.0,9.45,67.3,1226000000.0,1.52,3.98,3.83,1215000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.25,-43.09,-6.74,-13.0,164000000000.0,5.26,82.7,76089000000.0,-67016000000.0,-67561000000.0,-2.1,0.0,395000000000.0,12.35,24176000000.0,4.45,3.21,16.96,34348000000.0,60677000000.0
16,NET,1804000000000.0,0.0,588.24,0.0,21.85,31.2,22.2,-112.59,1.1,-55.58,-15.36,221.64,38.96,62.21,81.37,482000000.0,437000000.0,28302000000.0,0.0,27735000000.0,0.87,87.41,1208000000.0,3.22,5.41,3.69,1314000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.66,-21.13,-5.48,-41.94,81263000000.0,2.53,53.9,50929000000.0,-11663000000.0,-28975000000.0,-0.83,0.0,164000000000.0,5.01,157000000000.0,270.03,5.45,1.77,3648000000.0,8908000000.0
17,HUBS,1247000000000.0,0.0,94.34,2.75,8.4,14.88,8.17,-527.14,1.55,-56.15,-15.36,866.0,257.21,323.3,403.09,73753000.0,66627000.0,4802000000.0,0.0,4566000000.0,4.77,93.74,247000000.0,3.94,6.05,5.13,251000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.28,-5.67,-2.52,-11.43,153000000000.0,32.17,35.7,104000000000.0,-6348000000.0,-9581000000.0,-1.36,0.0,125000000000.0,25.95,74621000000.0,85.63,2.31,18.19,26098000000.0,22578000000.0
18,DDOG,2720000000000.0,888000.0,86.96,1.49,21.34,23.12,19.92,428.39,1.13,-35.91,-15.36,199.68,81.12,100.74,121.77,439000000.0,376000000.0,29082000000.0,0.0,26835000000.0,9.48,80.48,1097000000.0,2.97,3.88,3.47,1055000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.79,0.29,0.62,137000000000.0,4.37,73.9,79488000000.0,3563000000.0,654000000.0,0.01,0.0,17000000000.0,5.38,81129000000.0,66.77,3.31,3.84,40352000000.0,35384000000.0
19,DOCN,382000000000.0,0.0,32.79,0.0,7.84,72.83,7.75,59.47,0.0,-53.26,-15.36,133.4,30.05,42.46,49.91,154000000.0,113000000.0,9693000000.0,0.0,4706000000.0,28.78,53.65,883000000.0,7.47,12.75,9.11,884000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.78,-6.47,-1.59,-8.45,4923000000.0,4.62,29.0,25797000000.0,496000000.0,-3829000000.0,-0.32,0.0,117000000000.0,12.03,147000000000.0,3037.97,16.59,0.5,14857000000.0,5685000000.0
